,open,high,low,close,volume
2023-03-17,278.26,283.33,276.3201,279.43,69527371
2023-03-20,276.98,277.48,269.85,272.23,43466649
2023-03-21,274.88,275.0,269.5191,273.78,34558704
2023-03-22,273.4,281.04,272.18,272.29,34873330
2023-03-23,277.94,281.06,275.2,277.66,36610879
2023-03-24,277.24,280.63,275.28,280.57,28199962
2023-03-27,280.5,281.4589,275.52,276.38,26840212
2023-03-28,275.79,276.14,272.0451,275.23,21878647
2023-03-29,278.96,281.1398,278.41,280.51,25087032
2023-03-30,284.23,284.46,281.48,284.05,25053410
2023-03-31,283.73,289.27,283.0,288.3,32765976
2023-04-03,286.52,288.27,283.95,287.23,24883342
2023-04-04,287.23,290.4499,285.67,287.18,25824299
2023-04-05,285.85,287.15,282.92,284.34,22064770
2023-04-06,283.21,292.08,282.03,291.6,29770334
2023-04-10,289.208,289.6,284.71,289.39,23102994
2023-04-11,285.75,285.98,281.64,282.83,27276589
2023-04-12,284.79,287.01,281.96,283.49,27403432
2023-04-13,283.59,289.9,283.17,289.84,24222678
2023-04-14,287.0,288.48,283.69,286.14,20987917
2023-04-17,289.93,291.6,286.16,288.8,23791151
2023-04-18,291.57,291.755,287.01,288.37,20161845
2023-04-19,285.99,289.05,284.54,288.45,17150271
2023-04-20,285.25,289.03,285.08,286.11,23244363
2023-04-21,285.01,286.27,283.0608,285.76,21676387
2023-04-24,282.09,284.95,278.72,281.77,26611014
2023-04-25,279.51,281.6,275.37,275.42,45772236
2023-04-26,296.7,299.57,292.73,295.37,64481117
2023-04-27,295.97,305.2,295.25,304.83,46462638
2023-04-28,304.01,308.93,303.31,307.26,36469613
2023-05-01,306.97,308.6,305.15,305.56,21294115
2023-05-02,307.76,309.18,303.91,305.41,26404431
2023-05-03,306.62,308.61,304.09,304.4,22360754
2023-05-04,306.24,307.7626,303.4,305.41,22519907
2023-05-05,305.72,311.97,304.27,310.65,28197052
2023-05-08,310.13,310.2,306.09,308.65,21318613
2023-05-09,308.0,310.04,306.31,307.0,21340829
2023-05-10,308.62,313.0,307.67,312.31,30078044
2023-05-11,310.1,311.12,306.2601,310.11,31680179
2023-05-12,310.55,310.65,306.6,308.97,19774696
2023-05-15,309.095,309.905,307.59,309.46,16336547
2023-05-16,309.83,313.71,309.83,311.74,26730347
2023-05-17,312.29,314.43,310.74,314.0,24315012
2023-05-18,314.53,319.04,313.72,318.52,27275991
2023-05-19,316.74,318.75,316.37,318.34,27546701
2023-05-22,318.6,322.59,318.01,321.18,24115664
2023-05-23,320.03,322.72,315.25,315.26,30797173
2023-05-24,314.73,316.5,312.61,313.85,23384887
2023-05-25,323.24,326.9,320.0,325.92,43301743
2023-05-26,324.02,333.4,323.88,332.89,36630633
2023-05-30,335.23,335.74,330.52,331.21,29503070
2023-05-31,332.29,335.94,327.33,328.39,45546858
2023-06-01,325.93,333.53,324.72,332.58,26773851
2023-06-02,334.247,337.5,332.55,335.4,25873769
2023-06-05,335.22,338.5599,334.6601,335.94,21307053
2023-06-06,335.33,335.37,332.17,333.68,20396223
2023-06-07,331.65,334.49,322.5,323.38,40717129
2023-06-08,323.935,326.64,323.35,325.26,23277708
2023-06-09,324.99,329.99,324.41,326.79,22528950
2023-06-12,328.58,332.0999,325.16,331.85,24306753
2023-06-13,334.465,336.98,330.39,334.29,22951279
2023-06-14,334.34,339.04,332.81,337.34,26003791
2023-06-15,337.48,349.84,337.2,348.1,38899075
2023-06-16,351.32,351.47,341.95,342.33,46551985
2023-06-20,339.31,342.08,335.86,338.05,26375407
2023-06-21,336.37,337.73,332.07,333.56,25117799
2023-06-22,334.12,340.12,333.34,339.71,23556764
2023-06-23,334.36,337.96,333.45,335.02,23146901
2023-06-26,333.72,336.11,328.49,328.6,21520582
2023-06-27,331.86,336.15,329.3,334.57,24354110
2023-06-28,334.66,337.98,333.81,335.85,20259523
2023-06-29,334.71,336.11,332.62,335.05,16997042
2023-06-30,337.75,342.73,337.2,340.54,26832756
